Имя;Вокруг солнца дней;Вокруг оси дней;Масса масс Земли
Меркурий;87.97;58.646;0.055
Венера;224.7;243;0.815
Земля;365.24;0.997;1
Марс;686.9;1.026;0.107
Юпитер;11.857;0.414;317.8
Сатурн;29.4;0.444;95.2
Уран;84.02;0.72;14.37
Нептун;164.79;0.671;17.15
Плутон;247.92;6.387;0.002
